# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
260 -0.565099 0.825023 -0.000850499 -36.5971 53.2211 27.6495 0
261 -0.56515 0.824988 -0.000850494 -36.6013 53.2198 29.1564 0
262 -0.565201 0.824953 -0.00085049 -36.6057 53.2184 30.6633 0
263 -0.565252 0.824917 -0.000850486 -36.6099 53.217 32.1702 0
264 -0.583193 0.812334 -0.000856075 -37.6807 52.3983 -32.6299 0
265 -0.583243 0.812297 -0.000856071 -37.6849 52.3969 -31.123 0
266 -0.583293 0.81226 -0.000856067 -37.6892 52.3954 -29.6161 0
267 -0.583345 0.812224 -0.000856063 -37.6933 52.394 -28.1092 0
268 -0.583395 0.812188 -0.000857059 -37.6976 52.3925 -26.6023 0
269 -0.583445 0.812153 -0.000857057 -37.7018 52.3911 -25.0954 0
270 -0.583495 0.812117 -0.000857053 -37.7061 52.3896 -23.5885 0
271 -0.583546 0.81208 -0.000857048 -37.7103 52.3882 -22.0816 0
272 -0.583596 0.812043 -0.000857043 -37.7145 52.3868 -20.5747 0
273 -0.583646 0.812007 -0.00085704 -37.7187 52.3852 -19.0678 0
274 -0.583696 0.811971 -0.000857036 -37.7229 52.3838 -17.5609 0
275 -0.583746 0.811936 -0.000857033 -37.7272 52.3824 -16.054 0
276 -0.583797 0.811899 -0.000857029 -37.7313 52.381 -14.5472 0
277 -0.583847 0.811863 -0.000857025 -37.7356 52.3795 -13.0403 0
278 -0.583898 0.811827 -0.000857021 -37.7398 52.3781 -11.5334 0
279 -0.583948 0.811791 -0.000857017 -37.744 52.3767 -10.0265 0
280 -0.583998 0.811754 -0.000857012 -37.7482 52.3752 -8.51955 0
281 -0.584048 0.811718 -0.000857009 -37.7525 52.3738 -7.01264 0
282 -0.584099 0.811682 -0.000857005 -37.7568 52.3723 -5.50574 0
283 -0.584149 0.811646 -0.000857001 -37.7609 52.3709 -3.99884 0
284 -0.5842 0.81161 -0.000856997 -37.7652 52.3694 -2.49194 0
285 -0.584249 0.811573 -0.000856993 -37.7694 52.368 -0.98504 0
286 -0.5843 0.811537 -0.000856989 -37.7736 52.3665 0.521867 0
